Date,GDP
2013-01-01,2297128039058.16
2013-01-02,2297497759981.086
2013-01-03,2297861872883.411
2013-01-04,2298220373440.7417
2013-01-05,2298573257377.083
2013-01-06,2298920520464.841
2013-01-07,2299262158524.8223
2013-01-08,2299598167426.233
2013-01-09,2299928543086.6807
2013-01-10,2300253281472.173
2013-01-11,2300572378597.1157
2013-01-12,2300885830524.319
2013-01-13,2301193633364.9893
2013-01-14,2301495783278.7354
2013-01-15,2301792276473.567
2013-01-16,2302083109205.8926
2013-01-17,2302368277780.5215
2013-01-18,2302647778550.6636
2013-01-19,2302921607917.929
2013-01-20,2303189762332.328
2013-01-21,2303452238292.2715
2013-01-22,2303709032344.57
2013-01-23,2303960141084.435
2013-01-24,2304205561155.4785
2013-01-25,2304445289249.712
2013-01-26,2304679322107.5474
2013-01-27,2304907656517.798
2013-01-28,2305130289317.676
2013-01-29,2305347217392.7944
2013-01-30,2305558437677.1675
2013-01-31,2305763947153.2085
2013-02-01,2305963742851.732
2013-02-02,2306157821851.9517
2013-02-03,2306346181281.4824
2013-02-04,2306528818316.3394
2013-02-05,2306705730180.9375
2013-02-06,2306876914148.0933
2013-02-07,2307042367539.022
2013-02-08,2307202087723.34
2013-02-09,2307356072119.0635
2013-02-10,2307504318192.61
2013-02-11,2307646823458.7964
2013-02-12,2307783585480.8403
2013-02-13,2307914601870.359
2013-02-14,2308039870287.371
2013-02-15,2308159388440.2954
2013-02-16,2308273154085.9497
2013-02-17,2308381165029.553
2013-02-18,2308483419124.726
2013-02-19,2308579914273.4873
2013-02-20,2308670648426.257
2013-02-21,2308755619581.855
2013-02-22,2308834825787.5024
2013-02-23,2308908265138.82
2013-02-24,2308975935779.829
2013-02-25,2309037835902.951
2013-02-26,2309093963749.008
2013-02-27,2309144317607.2217
2013-02-28,2309188895815.2144
2013-03-01,2309227696759.0093
2013-03-02,2309260718873.0293
2013-03-03,2309287960640.098
2013-03-04,2309309420591.439
2013-03-05,2309325097306.676
2013-03-06,2309334989413.8335
2013-03-07,2309339095589.336
2013-03-08,2309337414558.009
2013-03-09,2309329945093.0767
2013-03-10,2309316686016.1655
2013-03-11,2309297636197.301
2013-03-12,2309272794554.909
2013-03-13,2309242160055.817
2013-03-14,2309205731715.2505
2013-03-15,2309163508596.8374
2013-03-16,2309115489812.6045
2013-03-17,2309061674522.9805
2013-03-18,2309002061936.7925
2013-03-19,2308936651311.2695
2013-03-20,2308865441952.0396
2013-03-21,2308788433213.132
2013-03-22,2308705624496.9756
2013-03-23,2308617015254.401
2013-03-24,2308522604984.6367
2013-03-25,2308422393235.314
2013-03-26,2308316379602.463
2013-03-27,2308204563730.514
2013-03-28,2308086945312.299
2013-03-29,2307963524089.0493
2013-03-30,2307834299850.396
2013-03-31,2307699272434.3716
2013-04-01,2307558441727.4087
2013-04-02,2307411807664.3394
2013-04-03,2307259370228.3975
2013-04-04,2307101129451.2153
2013-04-05,2306937085412.8267
2013-04-06,2306767238241.666
2013-04-07,2306591588114.5674
2013-04-08,2306410135256.765
2013-04-09,2306222879941.8945
2013-04-10,2306029822491.9897
2013-04-11,2305830963277.4873
2013-04-12,2305626302717.222
2013-04-13,2305415841278.431
2013-04-14,2305199579476.75
2013-04-15,2304977517876.2163
2013-04-16,2304749657089.2656
2013-04-17,2304515997776.737
2013-04-18,2304276540647.8667
2013-04-19,2304031286460.293
2013-04-20,2303780236020.0547
2013-04-21,2303523390181.59
2013-04-22,2303260749847.738
2013-04-23,2302992315969.737
