item_category_name,1
PC - Гарнитуры/Наушники,PC - Headsets / Headphones
Аксессуары - PS2,Accessories - PS2
Аксессуары - PS3,Accessories - PS3
Аксессуары - PS4,Accessories - PS4
Аксессуары - PSP,Accessories - PSP
Аксессуары - PSVita,Accessories - PSVita
Аксессуары - XBOX 360,Accessories - XBOX 360
Аксессуары - XBOX ONE,Accessories - XBOX ONE
Билеты (Цифра),Tickets (Digit)
Доставка товара,Delivery of goods
Игровые консоли - PS2,Game Consoles - PS2
Игровые консоли - PS3,Game Consoles - PS3
Игровые консоли - PS4,Game Consoles - PS4
Игровые консоли - PSP,Game Consoles - PSP
Игровые консоли - PSVita,Game Consoles - PSVita
Игровые консоли - XBOX 360,Game Consoles - XBOX 360
Игровые консоли - XBOX ONE,Game Consoles - XBOX ONE
Игровые консоли - Прочие,Game consoles - Other
Игры - PS2,Games - PS2
Игры - PS3,Games - PS3
Игры - PS4,Games - PS4
Игры - PSP,Games - PSP
Игры - PSVita,Games - PSVita
Игры - XBOX 360,Games - XBOX 360
Игры - XBOX ONE,Games - XBOX ONE
Игры - Аксессуары для игр,Games - Accessories for games
Игры Android - Цифра,Android Games - Number
Игры MAC - Цифра,MAC Games - Digit
Игры PC - Дополнительные издания,PC Games - Additional Editions
Игры PC - Коллекционные издания,PC Games - Collector's Editions
Игры PC - Стандартные издания,PC Games - Standard Editions
Игры PC - Цифра,PC Games - Digit
"Карты оплаты (Кино, Музыка, Игры)","Payment cards (Cinema, Music, Games)"
Карты оплаты - Live!,Payment Cards - Live!
Карты оплаты - Live! (Цифра),Payment Cards - Live! (Numeral)
Карты оплаты - PSN,Payment Cards - PSN
Карты оплаты - Windows (Цифра),Payment Cards - Windows (Digit)
Кино - Blu-Ray,Cinema - Blu-ray
Кино - Blu-Ray 3D,The Movie - Blu-Ray 3D
Кино - Blu-Ray 4K,Cinema - Blu-ray 4K
Кино - DVD,Cinema - DVD
Кино - Коллекционное,Cinema - Collectible
"Книги - Артбуки, энциклопедии","Books - Artbooks, Encyclopedias"
Книги - Аудиокниги,Books - Audiobooks
Книги - Аудиокниги (Цифра),Books - Audiobooks (Digit)
Книги - Аудиокниги 1С,Books - Audiobooks 1C
Книги - Бизнес литература,Books - Business Books
"Книги - Комиксы, манга","Books - Comics, Manga"
Книги - Компьютерная литература,Books - Computer Literature
Книги - Методические материалы 1С,Books - Methodological materials 1C
Книги - Открытки,Books - Postcards
Книги - Познавательная литература,Books - Educational literature
Книги - Путеводители,Книги - Путеводители
Книги - Художественная литература,Books - Fiction
Книги - Цифра,Books - Number
Музыка - CD локального производства,Music - Local Production CD
Музыка - CD фирменного производства,Music - Brand-Made CD
Музыка - MP3,Music - MP3
Музыка - Винил,Music - Vinyl
Музыка - Музыкальное видео,Music - Music Video
Музыка - Подарочные издания,Music - Gift Editions
Подарки - Атрибутика,Gifts - Attributes
"Подарки - Гаджеты, роботы, спорт","Gifts - Gadgets, Robots, Sports"
Подарки - Мягкие игрушки,Gifts - Soft Toys
Подарки - Настольные игры,Gifts - Board Games
Подарки - Настольные игры (компактные),Gifts - Board games (compact)
"Подарки - Открытки, наклейки","Gifts - Postcards, stickers"
Подарки - Развитие,Gifts - Development
"Подарки - Сертификаты, услуги","Gifts - Certificates, services"
Подарки - Сувениры,Gifts - Souvenirs
Подарки - Сувениры (в навеску),Gifts - Souvenirs (in bulk)
"Подарки - Сумки, Альбомы, Коврики д/мыши","Gifts - Bags, Albums, Mousepads"
Подарки - Фигурки,Gifts - Figures
Программы - 1С:Предприятие 8,Programs - 1C: Enterprise 8
Программы - MAC (Цифра),Programs - MAC (Digit)
Программы - Для дома и офиса,Programs - For home and office
Программы - Для дома и офиса (Цифра),Programs - For home and office (Digit)
Программы - Обучающие,Programs - Educational
Программы - Обучающие (Цифра),Programs - Educational (Digital)
Служебные,Office
Служебные - Билеты,Service - Tickets
Чистые носители (шпиль),Net carriers (spire)
Чистые носители (штучные),Blank media (piece)
Элементы питания,Batteries
