Date,Price,Freq,Invoice,Dayofweek,GDP,IMOEX,RubinDolar
2013-01-01,1479.4871153846154,128,189374.35076923078,1,2297128039058.16,1526.98,0.0327
2013-01-02,1561.694302720949,525,819889.5089284983,2,2297497759981.086,1526.98,0.0327
2013-01-03,1483.195422535155,443,657055.5721830736,3,2297861872883.411,1526.98,0.0331
2013-01-04,1532.4758585857574,399,611457.8675757173,4,2298220373440.7417,1526.98,0.033
2013-01-05,1490.3519555554667,399,594650.4302666311,5,2298573257377.083,1526.98,0.033
2013-01-06,1450.7449404760714,321,465689.12589281896,6,2298920520464.841,1526.98,0.033
2013-01-07,1452.2923611110416,288,418260.19999998,0,2299262158524.8223,1526.98,0.033
2013-01-08,1486.0783333333331,264,392324.67999999993,1,2299598167426.233,1526.98,0.0329
2013-01-09,1527.6958024690741,186,284151.41925924784,2,2299928543086.6807,1576.1,0.033
2013-01-10,1472.3588636363636,190,279748.1840909091,3,2300253281472.1733,1568.59,0.0329
2013-01-11,1595.6806666666002,220,351049.74666665203,4,2300572378597.116,1572.0,0.0331
2013-01-12,1454.7596153846155,256,372418.46153846156,5,2300885830524.319,1572.0,0.0331
2013-01-13,1523.2984353740815,246,374731.41510202404,6,2301193633364.9893,1572.0,0.0331
2013-01-14,1430.281794871795,186,266032.4138461539,0,2301495783278.736,1571.73,0.033
2013-01-15,1494.8052910053336,236,352774.04867725866,1,2301792276473.567,1590.21,0.0331
2013-01-16,1530.9414893617022,213,326090.5372340426,2,2302083109205.8926,1576.54,0.033
2013-01-17,1390.9159574468085,238,331037.9978723405,3,2302368277780.521,1571.15,0.033
2013-01-18,1503.2276234568521,254,381819.8163580404,4,2302647778550.664,1585.44,0.0331
2013-01-19,1427.1626865671642,393,560874.9358208955,5,2302921607917.929,1585.44,0.0331
2013-01-20,1481.3601388888333,334,494774.2863888703,6,2303189762332.328,1585.44,0.0331
2013-01-21,1436.75,179,257178.25,0,2303452238292.2715,1603.44,0.033
2013-01-22,1350.201388888889,182,245736.65277777772,1,2303709032344.57,1600.13,0.033
2013-01-23,1500.6447368421052,155,232599.9342105263,2,2303960141084.435,1589.02,0.0331
2013-01-24,1478.911111111111,196,289866.5777777777,3,2304205561155.4785,1605.36,0.0331
2013-01-25,1418.0993589743655,213,302055.16346153984,4,2304445289249.712,1604.66,0.0332
2013-01-26,1461.7020202019696,331,483823.36868685187,5,2304679322107.5474,1604.66,0.0332
2013-01-27,1536.645,268,411820.86,6,2304907656517.7983,1604.66,0.0332
2013-01-28,1239.8390909090908,172,213252.32363636358,0,2305130289317.676,1618.84,0.0333
2013-01-29,1395.7666666666669,181,252633.76666666663,1,2305347217392.7944,1635.5,0.0331
2013-01-30,1289.7426744186043,166,214097.2839534884,2,2305558437677.1675,1623.87,0.0333
2013-01-31,1270.5233653846153,175,222341.5889423077,3,2305763947153.2085,1618.71,0.0333
2013-02-01,1363.9344262295085,238,324616.39344262297,4,2305963742851.732,1621.71,0.0333
2013-02-02,1286.098523391807,363,466853.76399122603,5,2306157821851.952,1621.71,0.0333
2013-02-03,1329.4587797619645,251,333694.15372025303,6,2306346181281.4824,1621.71,0.0333
2013-02-04,1243.395731707317,134,166615.02804878046,0,2306528818316.34,1628.26,0.0335
2013-02-05,1476.1451219512194,170,250944.6707317073,1,2306705730180.937,1612.52,0.0332
2013-02-06,1359.7613636363635,195,265153.4659090909,2,2306876914148.0933,1614.09,0.0334
2013-02-07,1438.5535053928816,241,346691.39479968447,3,2307042367539.022,1602.99,0.0332
2013-02-08,1434.7463276835592,288,413206.9423728649,4,2307202087723.34,1595.36,0.0331
2013-02-09,1394.1070495494998,368,513031.394234216,5,2307356072119.0635,1595.36,0.0331
2013-02-10,1326.286111111116,310,411148.694444446,6,2307504318192.61,1595.36,0.0331
2013-02-11,1389.7883088235735,248,344667.5005882463,0,2307646823458.7964,1590.13,0.0331
2013-02-12,1455.3351851851114,200,291067.03703702224,1,2307783585480.8403,1581.95,0.0332
2013-02-13,1515.933653846154,252,382015.2807692308,2,2307914601870.359,1582.35,0.0333
2013-02-14,1490.8915000000004,220,327996.1300000001,3,2308039870287.371,1612.55,0.0333
2013-02-15,1264.0330357142855,261,329912.6223214285,4,2308159388440.2954,1588.31,0.0332
2013-02-16,1423.692957746479,356,506834.6929577465,5,2308273154085.9497,1588.31,0.0332
2013-02-17,1359.451082251078,370,502996.9004328989,6,2308381165029.553,1588.31,0.0332
2013-02-18,1274.9054838709676,207,263905.43516129034,0,2308483419124.726,1577.26,0.0332
2013-02-19,1274.580621890448,292,372177.54159201076,1,2308579914273.488,1578.65,0.0332
