Date,Price,Freq,Invoice,Quarter,GDP,IMOEX,RubinDolar
2013-11-22,2658.95,14,37225.3,4,2119597910512.5603,1425.86,0.0303
2013-11-23,2799.0,20,55980.0,4,2118191709781.6128,1425.86,0.0303
2013-11-24,2799.0,19,53181.0,4,2116781043878.1382,1425.86,0.0303
2013-11-25,2799.0,35,97965.0,4,2115365924207.8423,1444.91,0.0305
2013-11-26,2548.0,26,66248.0,4,2113946362224.8325,1433.55,0.0304
2013-11-27,2799.0,21,58779.0,4,2112522369431.6152,1416.43,0.0303
2013-11-28,2782.333333333333,28,77905.33333333334,4,2111093957379.0972,1404.31,0.0301
2013-11-29,2565.8157616893336,173,443886.1267722547,4,2109661137666.5864,1406.51,0.0302
2013-11-30,2560.79166666625,117,299612.6249999512,4,2108223921941.79,1406.51,0.0302
2013-12-01,2693.6,76,204713.6,4,2106782321900.816,1406.51,0.0302
2013-12-02,2642.6,56,147985.6,4,2105336349288.173,1402.93,0.0302
2013-12-03,2729.0,98,267442.0,4,2103886015896.7695,1398.74,0.0301
2013-12-04,2553.2,91,232341.2,4,2102431333567.9148,1372.44,0.0301
2013-12-05,2500.833333333333,116,290096.66666666674,4,2100972314191.317,1364.44,0.0302
2013-12-06,2736.5,123,336589.5,4,2099508969705.087,1362.55,0.0303
2013-12-07,2553.503125,107,273224.83437500003,4,2098041312095.7336,1362.55,0.0303
2013-12-08,2604.75,73,190146.75,4,2096569353398.1675,1362.55,0.0303
2013-12-09,2449.333333333333,52,127365.33333333336,4,2095093105695.6992,1390.61,0.0305
2013-12-10,2510.96,72,180789.12,4,2093612581120.039,1412.08,0.0306
2013-12-11,2395.575,60,143734.5,4,2092127791851.2988,1409.85,0.0306
2013-12-12,2541.6,50,127080.0,4,2090638750117.9893,1409.28,0.0305
2013-12-13,2517.1660714285713,92,231579.27857142856,4,2089145468197.0225,1393.57,0.0305
2013-12-14,2617.25,99,259107.75,4,2087647958413.7104,1393.57,0.0305
2013-12-15,2799.0,72,201528.0,4,2086146233141.765,1393.57,0.0305
