Date,Open,Max,Min,Close,"Trading Volume, USD","Market Capitalization, USD",
30.06.2015,926.48,939.93,916.06,939.93,488750114,139813401972,
29.06.2015,938.73,938.73,921.74,928.03,341186023,138042910445,
26.06.2015,940.14,944.23,933.75,943.01,456566033,140271600959,
25.06.2015,951.77,956.86,941.32,941.32,349944666,140019336427,
24.06.2015,966.98,974.63,949.42,951.45,406391547,141527160993,
23.06.2015,978.46,979.74,957.31,964.32,398748512,143441237065,
22.06.2015,969.98,988.40,969.98,978.85,472596015,145602129184,
19.06.2015,980.37,980.54,960.77,966.90,453897941,143825210236,
18.06.2015,973.13,989.87,973.13,981.82,430682284,146043251467,
17.06.2015,978.16,979.86,966.55,966.55,459784796,143773132357,
16.06.2015,957.70,978.29,957.70,978.29,489446498,145519185640,
15.06.2015,947.10,958.93,932.02,957.38,640704533,142755938950,
11.06.2015,958.31,959.96,942.36,950.38,499367362,141711179851,
10.06.2015,944.41,968.44,944.41,958.97,477951222,142993157973,
09.06.2015,926.35,943.84,919.89,943.54,519940811,140691992649,
08.06.2015,924.33,940.31,918.68,923.23,505169480,137663039159,
05.06.2015,916.76,930.92,904.76,922.67,491947860,137579215987,
04.06.2015,946.83,948.53,918.83,922.63,605210783,137573294438,
03.06.2015,977.89,983.01,943.20,947.28,662759624,141249722063,
02.06.2015,953.25,978.67,950.86,973.45,524742103,145152180445,
01.06.2015,975.60,979.34,953.88,953.88,576797944,142233778125,
29.05.2015,992.51,1009.21,968.81,968.81,919940287,144459920988,
28.05.2015,1008.39,1011.69,989.53,990.87,567935934,147749593504,
27.05.2015,1022.71,1026.38,1000.41,1012.21,683285611,150930699452,
26.05.2015,1044.84,1046.49,1023.61,1025.16,553628324,152861883629,
25.05.2015,1050.32,1053.94,1034.72,1041.58,408190042,155310040611,
22.05.2015,1044.73,1052.89,1041.43,1051.21,610146136,156745705864,
21.05.2015,1035.14,1051.76,1030.32,1047.47,657792145,156188898164,
20.05.2015,1056.41,1056.80,1027.17,1031.97,543375573,153876887472,
19.05.2015,1076.33,1080.27,1045.99,1057.60,589329851,157699295961,
18.05.2015,1075.16,1089.51,1074.41,1075.47,490173754,160364124786,
15.05.2015,1057.24,1075.42,1056.18,1074.73,548777832,160253355087,
14.05.2015,1077.56,1077.56,1052.09,1054.90,554554466,157296606257,
13.05.2015,1072.60,1092.52,1072.60,1082.21,697788303,161368886644,
12.05.2015,1058.21,1070.19,1049.77,1070.19,705660068,159576693698,
08.05.2015,1058.37,1059.73,1041.58,1059.52,526870367,157985386815,
07.05.2015,1059.42,1067.21,1045.58,1060.73,610757418,158166250482,
06.05.2015,1074.19,1087.47,1063.53,1066.19,674460828,158979386978,
05.05.2015,1033.07,1073.60,1023.57,1072.93,831460853,159985340971,
30.04.2015,1031.98,1036.42,1016.88,1029.31,563768033,153481577943,
29.04.2015,1027.74,1038.73,1019.29,1031.78,495685960,153849650971,
28.04.2015,1016.94,1030.83,1004.13,1029.71,563332392,153540684076,
27.04.2015,1041.08,1046.99,1020.03,1022.78,588089439,152506738740,
24.04.2015,1030.09,1054.21,1025.07,1037.52,793156079,154705160122,
23.04.2015,1009.19,1033.33,995.55,1028.47,879912683,153355425915,
22.04.2015,1004.80,1007.32,992.50,1004.00,686493831,149707166421,
21.04.2015,995.24,1007.69,986.98,1007.69,657252724,150256494253,
20.04.2015,1004.97,1025.10,982.55,995.70,805142150,148469158541,
17.04.2015,1065.37,1067.85,998.96,998.96,892951150,148955348092,
16.04.2015,1060.60,1066.68,1043.05,1061.60,874525597,158294952418,
15.04.2015,1017.61,1053.31,1017.61,1052.33,785075144,156914023829,
14.04.2015,1011.08,1017.64,996.55,1015.51,680213994,151422501877,
13.04.2015,984.71,1018.52,980.24,1004.62,758517432,149799223155,
10.04.2015,1008.16,1034.36,988.01,999.38,876404349,149018124290,
09.04.2015,987.16,1008.40,985.53,1003.42,1029511743,149620363021,
08.04.2015,969.44,991.06,968.10,988.30,602815563,147365319330,
07.04.2015,967.50,975.32,955.06,971.24,755766141,144822662813,
06.04.2015,934.30,971.08,934.30,971.08,443900553,144797527859,
03.04.2015,934.88,943.39,925.79,930.12,339721237,138690798626,
02.04.2015,908.83,935.28,908.16,933.58,646183374,139206597981,
01.04.2015,878.56,910.41,872.03,910.41,657934815,135751294569,
31.03.2015,881.12,888.44,871.33,880.42,584864273,131280465799,
30.03.2015,855.84,880.50,851.17,878.94,493046354,131059732063,
27.03.2015,870.20,871.81,856.44,856.44,488993069,127704040629,
26.03.2015,889.66,911.35,867.39,868.62,641737400,129520373062,
25.03.2015,882.91,897.01,877.37,882.07,477878831,131526189405,
24.03.2015,859.34,882.98,851.88,880.28,484563165,131259128753,
23.03.2015,868.56,871.87,853.92,859.14,521902900,128107207635,
20.03.2015,845.57,868.32,839.26,862.14,912556328,128554080300,
19.03.2015,866.28,874.26,843.40,847.99,574104611,126443474076,
18.03.2015,826.54,845.96,826.54,841.05,461542124,125408943084,
17.03.2015,816.12,831.48,816.12,822.76,540781942,122682326930,
16.03.2015,825.13,830.86,811.41,812.88,572763457,119615214986,
13.03.2015,856.80,858.65,830.99,833.57,551695936,122659116642,
12.03.2015,855.74,871.10,855.74,859.26,458907532,126439270095,
11.03.2015,842.60,859.26,835.70,847.98,572010448,124780068822,
10.03.2015,896.13,896.73,845.36,845.36,662196426,124393526742,
