Data;Último;Abertura;Máxima;Mínima;Var%
01.01.2013;0,0327;0,0327;0,0327;0,0327;-0,3
02.01.2013;0,0331;0,0327;0,0333;0,0327;1,22
03.01.2013;0,033;0,0331;0,0333;0,0329;-0,3
04.01.2013;0,033;0,033;0,0331;0,0327;0
07.01.2013;0,033;0,033;0,0331;0,0328;0
08.01.2013;0,033;0,0329;0,0331;0,0329;0
09.01.2013;0,033;0,033;0,0331;0,0328;0
10.01.2013;0,0331;0,0329;0,0333;0,0329;0,3
11.01.2013;0,033;0,0331;0,0333;0,0329;-0,3
14.01.2013;0,033;0,033;0,0331;0,033;0
15.01.2013;0,033;0,0331;0,0331;0,0329;0
16.01.2013;0,033;0,033;0,033;0,0328;0
17.01.2013;0,0331;0,033;0,0331;0,0329;0,3
18.01.2013;0,033;0,0331;0,0333;0,033;-0,3
21.01.2013;0,033;0,033;0,0331;0,033;0
22.01.2013;0,033;0,033;0,0331;0,033;0
23.01.2013;0,0331;0,0331;0,0333;0,0331;0,3
24.01.2013;0,0333;0,0331;0,0334;0,0331;0,6
25.01.2013;0,0333;0,0332;0,0335;0,0332;0
28.01.2013;0,0331;0,0333;0,0334;0,0331;-0,6
29.01.2013;0,0333;0,0331;0,0334;0,0331;0,6
30.01.2013;0,0334;0,0333;0,0334;0,0332;0,3
31.01.2013;0,0333;0,0333;0,0334;0,0332;-0,3
01.02.2013;0,0335;0,0333;0,0336;0,0333;0,6
04.02.2013;0,0333;0,0335;0,0336;0,0332;-0,6
05.02.2013;0,0334;0,0332;0,0334;0,0331;0,3
06.02.2013;0,0333;0,0334;0,0335;0,0332;-0,3
07.02.2013;0,0333;0,0332;0,0334;0,033;0
08.02.2013;0,0331;0,0331;0,0333;0,033;-0,6
11.02.2013;0,0331;0,0331;0,0333;0,0331;0
12.02.2013;0,0335;0,0332;0,0335;0,0331;1,21
13.02.2013;0,0333;0,0333;0,0334;0,0332;-0,6
14.02.2013;0,0333;0,0333;0,0335;0,0331;0
15.02.2013;0,0331;0,0332;0,0333;0,0331;-0,6
18.02.2013;0,0331;0,0332;0,0333;0,0331;0
19.02.2013;0,0333;0,0332;0,0334;0,0332;0,6
20.02.2013;0,033;0,0332;0,0334;0,033;-0,9
21.02.2013;0,0329;0,033;0,0331;0,0328;-0,3
22.02.2013;0,0329;0,0329;0,033;0,0328;0
25.02.2013;0,0328;0,0329;0,0331;0,0327;-0,3
26.02.2013;0,0326;0,0327;0,0329;0,0326;-0,61
27.02.2013;0,0335;0,0327;0,0335;0,0326;2,76
